"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"ITB","R402-04-02","1-8","109","R402-04-02","0.01","*DC",
"ITB","R402-04-02","6-8","2650","R402-04-02","0.01","*SCR1",
"ITB","R402-04-03","3-7","144","R402-04-03","0.01","*DC",
"ITB","R402-04-03","6-7","272","R402-04-03","0.01","*SCR3",
"ITB","R402-04-04","3-8","145","R402-04-04","0.01","*DC",
"ITB","R402-04-04","6-8","273","R402-04-04","0.01","*SCR3",
"ITB","R402-04-05","4-7","272","R402-04-05","0.01","*SCR3",
"ITB","R402-04-05","4-9","409","R402-04-05","0.01","*SCR2",
"ITB","R402-04-06","4-109","409","R402-04-06","0.01","*SCR2",
"ITB","R402-04-06","4-9","2800","R402-04-06","0.01","*SCR1",
"ITB","R402-04-07","4-10","2810","R402-04-07","0.01","*SCR1",
"ITB","R402-04-07","4-110","410","R402-04-07","0.01","*SCR2",
"ITB","R402-04-08","2-7","125","R402-04-08","0.01","*DC",
"ITB","R402-04-08","6-7","307","R402-04-08","0.01","*SCR2",
"ITB","R402-04-09","2-8","126","R402-04-09","0.01","*DC",
"ITB","R402-04-09","6-8","300","R402-04-09","0.01","*SCR2",
"ITB","R402-04-10","2-7","165","R402-04-10","0.01","*DC",
"ITB","R402-04-10","6-7","255","R402-04-10","0.01","*SCR4",
"ITB","R402-04-11","2-8","166","R402-04-11","0.01","*DC",
"ITB","R402-04-11","6-8","256","R402-04-11","0.01","*SCR4",
"ITB","R402-04-12","4-7","252","R402-04-12","0.01","*SCR2",
"ITB","R402-04-12","4-7","264","R402-04-12","0.01","*SCR1",
"ITB","R402-04-13","4-11","271","R402-04-13","0.01","*SCR2",
"ITB","R402-04-13","4-11","282","R402-04-13","0.01","*SCR1",
"ITB","R402-04-14","4-3","173","R402-04-14","0.01","*SCR2",
"ITB","R402-04-14","4-3","267","R402-04-14","0.01","*SCR1",
"ITB","R402-04-15","4-12","435","R402-04-15","0.01","*SCR3",
"ITB","R402-04-15","4-9","255","R402-04-15","0.01","*SCR4",
"ITB","R402-04-16","4-10","256","R402-04-16","0.01","*SCR4",
"ITB","R402-04-16","4-13","436","R402-04-16","0.01","*SCR3",
"ITB","R402-04-17","4-115","435","R402-04-17","0.01","*SCR3",
"ITB","R402-04-17","4-15","275","R402-04-17","0.01","*SCR2",
"ITB","R402-04-18","4-116","436","R402-04-18","0.01","*SCR3",
"ITB","R402-04-18","4-16","276","R402-04-18","0.01","*SCR2",
"ITB","R402-04-19","4-14","474","R402-04-19","0.01","*SCR3",
"ITB","R402-04-19","4-17","277","R402-04-19","0.01","*SCR2",
"ITB","R402-04-20","4-11","259","R402-04-20","0.01","*SCR4",
"ITB","R402-04-20","4-110","474","R402-04-20","0.01","*SCR3",
"ITB","R402-04-21","4-8","253","R402-04-21","0.01","*SCR2",
"ITB","R402-04-21","4-8","301","R402-04-21","0.01","*SCR1",
"ITB","R402-04-22","4-12","272","R402-04-22","0.01","*SCR2",
"ITB","R402-04-22","4-9","274","R402-04-22","0.01","*SCR3",
"ITB","R402-04-23","4-10","470","R402-04-23","0.01","*SCR3",
"ITB","R402-04-23","4-13","273","R402-04-23","0.01","*SCR2",
"ITB","R402-04-24","4-107","470","R402-04-24","0.01","*SCR3",
"ITB","R402-04-24","4-7","252","R402-04-24","0.01","*SCR4",
"ITB","R402-04-25","4-14","274","R402-04-25","0.01","*SCR2",
"ITB","R402-04-25","4-140","434","R402-04-25","0.01","*SCR3",
"ITB","R402-04-26","4-17","477","R402-04-26","0.01","*SCR3",
"ITB","R402-04-26","4-20","280","R402-04-26","0.01","*SCR2",
"ITB","R402-04-27","4-114","477","R402-04-27","0.01","*SCR3",
"ITB","R402-04-27","4-14","263","R402-04-27","0.01","*SCR4",
"ITB","R402-04-28","4-16","265","R402-04-28","0.01","*SCR4",
"ITB","R402-04-28","4-19","442","R402-04-28","0.01","*SCR3",
"ITB","R402-04-29","4-122","442","R402-04-29","0.01","*SCR3",
"ITB","R402-04-29","4-22","326","R402-04-29","0.01","*SCR2",
"ITB","R402-04-30","4-18","478","R402-04-30","0.01","*SCR3",
"ITB","R402-04-30","4-21","281","R402-04-30","0.01","*SCR2",
"ITB","R402-04-31","4-115","478","R402-04-31","0.01","*SCR3",
"ITB","R402-04-31","4-15","264","R402-04-31","0.01","*SCR4",
"ITB","R402-04-32","4-17","266","R402-04-32","0.01","*SCR4",
"ITB","R402-04-32","4-20","443","R402-04-32","0.01","*SCR3",
"ITB","R402-04-33","4-123","443","R402-04-33","0.01","*SCR3",
"ITB","R402-04-33","4-23","322","R402-04-33","0.01","*SCR2",
"ITB","R402-04-36","4-10","410","R402-04-36","0.01","*SCR2",
"ITB","R402-04-36","4-8","273","R402-04-36","0.01","*SCR3",
"ITB","R402-04-37","4-11","434","R402-04-37","0.01","*SCR3",
"ITB","R402-04-37","4-8","253","R402-04-37","0.01","*SCR4",
"ITB","R402-04-38","4-30","153","R402-04-38","0.01","*SCR3",
"ITB","R402-04-38","4-30","286","R402-04-38","0.01","*SCR2",
"ITB","R402-05-01","4-12","304","R402-05-01","0.01","*SCR1",
"ITB","R402-05-01","4-18","302","R402-05-01","0.01","*SCR2",
"ITB","R402-05-02","4-16","5436","R402-05-02","0.01","*SCR3",
"ITB","R402-05-02","4-19","321","R402-05-02","0.01","*SCR2",
"ITB","R402-05-03","4-15","315","R402-05-03","0.01","*SCR3",
"ITB","R402-05-03","4-180","302","R402-05-03","0.01","*SCR2",
"ITB","R402-05-04","4-116","5436","R402-05-04","0.01","*SCR2",
"ITB","R402-05-04","4-13","262","R402-05-04","0.01","*SCR4",
"ITB","R402-05-05","4-115","5435","R402-05-05","0.01","*SCR3",
"ITB","R402-05-05","4-12","258","R402-05-05","0.01","*SCR4",
"ITB","R402-05-06","4-15","5435","R402-05-06","0.01","*SCR3",
"ITB","R402-05-06","4-18","302","R402-05-06","0.01","*SCR2",
"ITB","R402-05-07","1-9","110","R402-05-07","0.01","*DC",
"ITB","R402-05-07","6-9","117","R402-05-07","0.01","*SCR1",
"ITB","R402-05-08","1-10","112","R402-05-08","0.01","*DC",
"ITB","R402-05-08","6-10","114","R402-05-08","0.01","*SCR1",
"ITB","R402-05-09","2-9","110","R402-05-09","0.01","*DC",
"ITB","R402-05-09","6-9","117","R402-05-09","0.01","*SCR2",
"ITB","R402-05-10","2-10","112","R402-05-10","0.01","*DC",
"ITB","R402-05-10","6-10","114","R402-05-10","0.01","*SCR2",
"ITB","R402-05-11","3-9","146","R402-05-11","0.01","*DC",
"ITB","R402-05-11","6-9","117","R402-05-11","0.01","*SCR3",
"ITB","R402-05-12","3-10","112","R402-05-12","0.01","*DC",
"ITB","R402-05-12","6-10","114","R402-05-12","0.01","*SCR3",
"ITB","R402-05-13","4-9","146","R402-05-13","0.01","*DC",
"ITB","R402-05-13","6-9","117","R402-05-13","0.01","*SCR4",
"ITB","R402-05-14","4-10","112","R402-05-14","0.01","*DC",
"ITB","R402-05-14","6-10","114","R402-05-14","0.01","*SCR4",
"ITB","R405-01-01","5-2","174","R405-01-01","0.01","*DC",
"ITB","R405-01-01","6-2","502","R405-01-01","0.01","*MCC",
"ITB","R405-01-02","5-16","189","R405-01-02","0.01","*DC",
"ITB","R405-01-02","6-16","16","R405-01-02","0.01","*MCC",
"ITB","R405-01-03","14-3","293","R405-01-03","0.01","*SCR2",
"ITB","R405-01-03","2-3","101","R405-01-03","0.01","*MCC",
"ITB","R405-01-04","14-4","294","R405-01-04","0.01","*SCR2",
"ITB","R405-01-04","2-4","12","R405-01-04","0.01","*MCC",
"ITB","R405-01-05","5-18","191","R405-01-05","0.01","*DC",
"ITB","R405-01-05","6-18","18","R405-01-05","0.01","*MCC",
"ITB","R405-01-06","5-6","179","R405-01-06","0.01","*DC",
"ITB","R405-01-06","6-6","18","R405-01-06","0.01","*MCC",
"ITB","R405-01-07","5-1","172","R405-01-07","0.01","*DC",
"ITB","R405-01-07","6-1","12","R405-01-07","0.01","*MCC",
"ITB","R405-01-08","5-3","246","R405-01-08","10000","*DC",
"ITB","R405-01-08","6-3","12","R405-01-08","10000","*MCC",
"ITB","R405-01-09","5-4","247","R405-01-09","10000","*DC",
"ITB","R405-01-09","6-4","12","R405-01-09","10000","*MCC",
"ITB","R405-01-10","5-5","248","R405-01-10","10000","*DC",
"ITB","R405-01-10","6-5","12","R405-01-10","10000","*MCC",
"ITB","R405-01-11","4-17","131","R405-01-11","10000","*DC",
"ITB","R405-01-11","6-17","12","R405-01-11","10000","*SCR4",
"ITB","R405-01-12","5-7","249","R405-01-12","10000","*DC",
"ITB","R405-01-12","6-7","12","R405-01-12","10000","*MCC",
"ITB","R405-02-01","5-17","190","R405-02-01","0.01","*DC",
"ITB","R405-02-01","6-17","17","R405-02-01","0.01","*MCC",
"ITB","R405-02-02","14-5","252","R405-02-02","0.01","*SCR3",
"ITB","R405-02-02","3-5","102","R405-02-02","0.01","*MCC",
"ITB","R405-02-03","14-6","253","R405-02-03","0.01","*SCR3",
"ITB","R405-02-03","3-6","12","R405-02-03","0.01","*MCC",
"ITB","R405-02-04","5-19","192","R405-02-04","0.01","*DC",
"ITB","R405-02-04","6-19","19","R405-02-04","0.01","*MCC",
"ITB","R405-02-05","5-7","180","R405-02-05","0.01","*DC",
"ITB","R405-02-05","6-7","19","R405-02-05","0.01","*MCC",
"ITB","R405-03-01","5-15","188","R405-03-01","0.01","*DC",
"ITB","R405-03-01","6-15","15","R405-03-01","0.01","*MCC",
"ITB","R405-03-02","14-1","250","R405-03-02","0.01","*SCR3",
"ITB","R405-03-02","3-1","103","R405-03-02","0.01","*MCC",
"ITB","R405-03-03","14-3","251","R405-03-03","0.01","*SCR3",
"ITB","R405-03-03","3-3","12","R405-03-03","0.01","*MCC",
"ITB","R405-04-01","5-14","187","R405-04-01","0.01","*DC",
"ITB","R405-04-01","6-14","14","R405-04-01","0.01","*MCC",
"ITB","R405-04-04","14-1","291","R405-04-04","0.01","*SCR2",
"ITB","R405-04-04","2-1","105","R405-04-04","0.01","*MCC",
"ITB","R405-04-05","14-2","292","R405-04-05","0.01","*SCR2",
"ITB","R405-04-05","2-2","12","R405-04-05","0.01","*MCC",
"ITB","R405-04-06","14-2","260","R405-04-06","0.01","*SCR4",
"ITB","R405-04-06","4-2","105","R405-04-06","0.01","*MCC",
"ITB","R405-04-07","14-3","261","R405-04-07","0.01","*SCR4",
"ITB","R405-04-07","2-3","12","R405-04-07","0.01","*MCC",
"MCC","AUX","1","502","VAUX-12","-12","-12VDC",
"MCC","AUX","13","12","VAUX+13","12","+12V",
"MCC","RLDWAB","A","14","RLDWAB","472","",
"MCC","RLDWAB","B","12","RLDWAB","472","",
"MCC","RLDWAF","4","14","SRLDWAF-7","1","",
"MCC","RLDWAF","7","104","SRLDWAF-7","1","",
"MCC","RLDWAF","A","14","RLDWAF","472","",
"MCC","RLDWAF","B","12","RLDWAF","472","",
"MCC","RLDWBB","A","14","RLDWBB","472","",
"MCC","RLDWBB","B","12","RLDWBB","472","",
"MCC","RLDWBF","4","104","SRLDWBF-7","1","",
"MCC","RLDWBF","7","105","SRLDWBF-7","1","",
"MCC","RLDWBF","A","14","RLDWBF","472","",
"MCC","RLDWBF","B","12","RLDWBF","472","",
"MCC","RLM1B","A","16","RLM1B","472","",
"MCC","RLM1B","B","12","RLM1B","472","",
"MCC","RLM1F","4","16","SRLM1F-7","1","",
"MCC","RLM1F","7","101","SRLM1F-7","1","",
"MCC","RLM1F","A","16","RLM1F","472","",
"MCC","RLM1F","B","12","RLM1F","472","",
"MCC","RLM2B","A","17","RLM2B","472","",
"MCC","RLM2B","B","12","RLM2B","472","",
"MCC","RLM2F","4","17","SRLM2F-7","1","",
"MCC","RLM2F","7","102","SRLM2F-7","1","",
"MCC","RLM2F","A","17","RLM2F","472","",
"MCC","RLM2F","B","12","RLM2F","472","",
"MCC","RLRTB","A","15","RLRTB","472","",
"MCC","RLRTB","B","12","RLRTB","472","",
"MCC","RLRTF","4","15","SRLRTF-7","1","",
"MCC","RLRTF","7","103","SRLRTF-7","1","",
"MCC","RLRTF","A","15","RLRTF","472","",
"MCC","RLRTF","B","12","RLRTF","472","",
"SCR1","ACC","115","229","VAC-115","115","115V",
"SCR1","BLW","1","B11","RBLW-1","1000","",
"SCR1","BLW","2","0","RBLW-1","1000","",
"SCR1","BLW","3","B12","RBLW-2","1000","",
"SCR1","BLW","4","0","RBLW-2","1000","",
"SCR1","BLW","5","B13","RBLW-3","1000","",
"SCR1","BLW","6","0","RBLW-3","1000","",
"SCR1","C1","1","230","SC1-1","1","",
"SCR1","C1","2","B01","SC1-1","1","",
"SCR1","C1","3","230","SC1-3","1","",
"SCR1","C1","4","B02","SC1-3","1","",
"SCR1","C1","5","230","SC1-5","1","",
"SCR1","C1","6","B03","SC1-5","1","",
"SCR1","C1","A","225","RC1","1000","",
"SCR1","C1","B","0","RC1","1000","",
"SCR1","CB","1","230","SCB-2","1","",
"SCR1","CB","2","229","SCB-2","1","",
"SCR1","CB","4","235","SCB-5","1","",
"SCR1","CB","5","134","SCB-5","1","",
"SCR1","CB","U10","179","RCB","1000","",
"SCR1","CB","U8","244","RCB","1000","",
"SCR1","D135","A","135","D135","0","",
"SCR1","D135","K","135A","D135","0","",
"SCR1","DCM","101","101","XDCM-101","","VFB-",
"SCR1","DCM","102","102","XDCM-102","","VFB+",
"SCR1","DCM","114","114","XDCM-114","0","DW REF",
"SCR1","DCM","116","116","XDCM-116","0","DW CONT",
"SCR1","DCM","117","117","XDCM-117","0","DW REF",
"SCR1","DCM","124","124","XDCM-124","0","MP1 CONT",
"SCR1","DCM","125","125","XDCM-125","0","MP1 REF",
"SCR1","DCM","131","131","XDCM-131","","IFB",
"SCR1","DCM","134","134","XDCM-134","-14","-14V CONT",
"SCR1","DCM","135","135","XDCM-135","-14","BRAKE",
"SCR1","DCM","153","153","VDCM-153","14","+14V",
"SCR1","DCM","154","154","VDCM-154","-14","-14V",
"SCR1","DCM","155","0","XDCM-155","0","0V",
"SCR1","DPC1-13","A","153","DPC1-13","0","",
"SCR1","DPC1-13","K","179","DPC1-13","0","",
"SCR1","DPC3-1","A","2651","DPC3-1","0","",
"SCR1","DPC3-1","K","2810","DPC3-1","0","",
"SCR1","DPC3-10","A","2730","DPC3-10","0","",
"SCR1","DPC3-10","K","2780","DPC3-10","0","",
"SCR1","DPC3-2","A","2651","DPC3-2","0","",
"SCR1","DPC3-2","K","2650","DPC3-2","0","",
"SCR1","DPC3-6","A","173","DPC3-6","0","",
"SCR1","DPC3-6","K","277","DPC3-6","0","",
"SCR1","DPC3-7","A","267","DPC3-7","0","",
"SCR1","DPC3-7","K","277","DPC3-7","0","",
"SCR1","DPC3-9","A","2730","DPC3-9","0","",
"SCR1","DPC3-9","K","2800","DPC3-9","0","",
"SCR1","FS1","1","238","SF1","0","",
"SCR1","FS1","2","239","SF1","0","",
"SCR1","FS2","1","239","SF2","0","",
"SCR1","FS2","2","240","SF2","0","",
"SCR1","FS3","1","240","SF3","0","",
"SCR1","FS3","2","241","SF3","0","",
"SCR1","FS4","1","244","SF4","0","",
"SCR1","FS4","2","245","SF4","0","",
"SCR1","FS5","1","245","SF5","0","",
"SCR1","FS5","2","246","SF5","0","",
"SCR1","FS6","1","246","SF6","0","",
"SCR1","FS6","2","238","SF6","0","",
"SCR1","K1","1","135A","SK1-1","1","",
"SCR1","K1","2","304","SK1-1","1","",
"SCR1","K1","3","288","SK1-3","1","",
"SCR1","K1","4","116","SK1-3","1","",
"SCR1","K1","7","302","SK1-7","0","",
"SCR1","K1","8","295","SK1-7","0","",
"SCR1","K1","[+]","173","RK1","76","",
"SCR1","K1","[-]","296","RK1","76","",
"SCR1","K2","3","294","SK2-3","1","",
"SCR1","K2","4","124","SK2-3","1","",
"SCR1","K2","7","301","SK2-7","0","",
"SCR1","K2","8","296","SK2-7","0","",
"SCR1","K2","[+]","173","RK2","76","",
"SCR1","K2","[-]","295","RK2","76","",
"SCR1","K5","A","2780","SK5-A","1","",
"SCR1","K5","B","264","SK5-A","1","",
"SCR1","K5","C","2650","SK5-C","1","",
"SCR1","K5","D","264","SK5-C","1","",
"SCR1","K5","E","2800","SK5-E","1","",
"SCR1","K5","F","282","SK5-E","1","",
"SCR1","K5","G","2810","SK5-G","1","",
"SCR1","K5","H","282","SK5-G","1","",
"SCR1","K5B","[+]","277","RK5B","76","",
"SCR1","K5B","[-]","2730","RK5B","76","",
"SCR1","K5T","[+]","277","RK5T","76","",
"SCR1","K5T","[-]","276","RK5T","76","",
"SCR1","K6","3","296","SK6-3","1","",
"SCR1","K6","4","288","SK6-3","1","",
"SCR1","K6","[+]","173","RK6","76","",
"SCR1","K6","[-]","296","RK6","76","",
"SCR1","K7","3","295","SK7-3","1","",
"SCR1","K7","4","294","SK7-3","1","",
"SCR1","K7","[+]","173","RK7","76","",
"SCR1","K7","[-]","295","RK7","76","",
"SCR1","L1","1","230","L1","28","",
"SCR1","L1","2","0","L1","28","",
"SCR1","M1","[+]","102","RM1","50","",
"SCR1","M1","[-]","181","RM1","50","",
"SCR1","M2","[+]","166","RM2","50","",
"SCR1","M2","[-]","0","RM2","50","",
"SCR1","OL1","1","B01","ROL1-1","2","",
"SCR1","OL1","13","230","SOL1-13","0","",
"SCR1","OL1","14","225","SOL1-13","0","",
"SCR1","OL1","2","B11","ROL1-1","2","",
"SCR1","OL1","3","B02","ROL1-3","2","",
"SCR1","OL1","4","B12","ROL1-3","2","",
"SCR1","OL1","5","B03","ROL1-5","2","",
"SCR1","OL1","6","B13","ROL1-5","2","",
"SCR1","PC1","13","173","VPC1-13","60","+60V",
"SCR1","PC1","14","154","XPC1-14","","",
"SCR1","PC1","15","154","XPC1-15","","",
"SCR1","PC1","19","179","XPC1-19","","",
"SCR1","PC1","20","244","XPC1-20","","",
"SCR1","PC1","36","153","XPC1-36","","",
"SCR1","PC1","5","131","XPC1-05","","",
"SCR1","PC1","6","166","XPC1-06","","",
"SCR1","PC1","7","131","XPC1-07","","",
"SCR1","PC3","1","2810","XPC301","","",
"SCR1","PC3","10","2780","XPC310","","",
"SCR1","PC3","13","2730","XPC313","","",
"SCR1","PC3","2","2650","XPC302","","",
"SCR1","PC3","5","2651","XPC305","","",
"SCR1","PC3","6","173","XPC306","","",
"SCR1","PC3","7","267","XPC307","","",
"SCR1","PC3","8","277","XPC308","","",
"SCR1","PC3","9","2800","XPC309","","",
"SCR1","RIFB1","1","IFB01","RIFB1","1000","",
"SCR1","RIFB1","2","131","RIFB1","1000","",
"SCR1","RIFB2","1","131","RIFB2","2.67","",
"SCR1","RIFB2","2","0","RIFB2","2.67","",
"SCR1","RIFB3","1","131","RIFB3","5000","",
"SCR1","RIFB3","2","166","RIFB3","5000","",
"SCR1","RVFB1","1","157","RVFB1","35100","",
"SCR1","RVFB1","2","102","RVFB1","35100","",
"SCR1","RVFB2","1","159","RVFB2","35100","",
"SCR1","RVFB2","2","101","RVFB2","35100","",
"SCR1","RVFB3","1","102","RVFB3","2700","",
"SCR1","RVFB3","2","0","RVFB3","2700","",
"SCR1","RVFB4","1","101","RVFB4","2700","",
"SCR1","RVFB4","2","0","RVFB4","2700","",
"SCR1","RVFB5","1","181","RVFB5","68000","",
"SCR1","RVFB5","2","101","RVFB5","68000","",
"SCR1","RX01","1","0","RX01","10000","",
"SCR1","RX01","2","2810","RX01","10000","",
"SCR1","RX02","1","0","RX02","10000","",
"SCR1","RX02","2","2650","RX02","10000","",
"SCR1","RX03","1","0","RX03","10000","",
"SCR1","RX03","2","2800","RX03","10000","",
"SCR1","RX04","1","0","RX04","10000","",
"SCR1","RX04","2","2780","RX04","10000","",
"SCR1","RX1","1","2651","SRX1-7C","0","",
"SCR1","RX1","7C","276","SRX1-7C","0","",
"SCR1","SCR","1","157","VSCR+","0","BR+",
"SCR1","SCR","1","159","VSCR-","0","BR-",
"SCR1","SCR","1","IFB01","VSCRI","0","AMPS",
"SCR1","TB21","1","244","X2101","","",
"SCR1","TB21","2","238","X2102","","",
"SCR1","TB21","3","249","X2103","","",
"SCR1","TB21","4","243","X2104","","",
"SCR1","TB26","1","238","X2601","","",
"SCR1","TB26","2","241","X2602","","",
"SCR1","TB26","3","241","X2603","","",
"SCR1","TB26","4","243","X2604","","",
"SCR1","TEST","1","154","STEST","0","",
"SCR1","TEST","2","134","STEST","0","",
"SCR1","TS1","1","249","ST1-1","0","",
"SCR1","TS1","2","243","ST1-1","0","",
"SCR1","TS2","1","243","ST2-1","0","",
"SCR1","TS2","2","241","ST2-1","0","",
"SCR2","ACC","115","229","VAC-115","115","115V",
"SCR2","BLW","1","B11","RBLW-1","1000","",
"SCR2","BLW","2","0","RBLW-1","1000","",
"SCR2","BLW","3","B12","RBLW-2","1000","",
"SCR2","BLW","4","0","RBLW-2","1000","",
"SCR2","BLW","5","B13","RBLW-3","1000","",
"SCR2","BLW","6","0","RBLW-3","1000","",
"SCR2","C1","1","230","SC1-1","1","",
"SCR2","C1","2","B01","SC1-1","1","",
"SCR2","C1","3","230","SC1-3","1","",
"SCR2","C1","4","B02","SC1-3","1","",
"SCR2","C1","5","230","SC1-5","1","",
"SCR2","C1","6","B03","SC1-5","1","",
"SCR2","C1","A","225","RC1","1000","",
"SCR2","C1","B","0","RC1","1000","",
"SCR2","CB","1","230","SCB-2","1","",
"SCR2","CB","2","229","SCB-2","1","",
"SCR2","CB","4","235","SCB-5","1","",
"SCR2","CB","5","134","SCB-5","1","",
"SCR2","CB","U10","179","RCB","1000","",
"SCR2","CB","U8","244","RCB","1000","",
"SCR2","D02","A","153","D02","0","",
"SCR2","D02","A","286","D02","0","",
"SCR2","D02","K","295","D02","0","",
"SCR2","D02","K","295","D02","0","",
"SCR2","D03","A","138","D03","0","",
"SCR2","D03","K","307","D03","0","",
"SCR2","D04","A","302","D04","0","",
"SCR2","D04","K","135","D04","0","",
"SCR2","D05","A","325","D05","0","",
"SCR2","D05","K","299","D05","0","",
"SCR2","D06","A","315","D06","0","",
"SCR2","D06","K","300","D06","0","",
"SCR2","D07","A","317","D07","0","",
"SCR2","D07","K","276","D07","0","",
"SCR2","D109","A","109","D109","0","",
"SCR2","D109","K","109A","D109","0","",
"SCR2","DCM","101","101","XDCM-101","","VFB-",
"SCR2","DCM","102","102","XDCM-102","","VFB+",
"SCR2","DCM","109","109","XDCM-109","-14","REGEN",
"SCR2","DCM","114","114","XDCM-114","0","DW REF",
"SCR2","DCM","116","116","XDCM-116","0","DW CONT",
"SCR2","DCM","117","117","XDCM-117","0","DW REF",
"SCR2","DCM","124","124","XDCM-124","0","MP1 CONT",
"SCR2","DCM","125","125","XDCM-125","0","MP1 REF",
"SCR2","DCM","128","128","XDCM-128","0","RT ILIM",
"SCR2","DCM","129","129","XDCM-129","0","RT CONT",
"SCR2","DCM","130","130","XDCM-130","0","RT REF",
"SCR2","DCM","131","131","XDCM-131","","IFB",
"SCR2","DCM","134","134","XDCM-134","-14","-14V CONT",
"SCR2","DCM","135","135","XDCM-135","0","BRAKE",
"SCR2","DCM","138","138","XDCM-138","0","BRAKE",
"SCR2","DCM","153","153","VDCM-153","14","+14V",
"SCR2","DCM","154","154","VDCM-154","-14","-14V",
"SCR2","DCM","155","0","XDCM-155","0","0V",
"SCR2","DPC1-13","A","153","DPC1-13","0","",
"SCR2","DPC1-13","K","179","DPC1-13","0","",
"SCR2","DPC3-1","A","280","DPC3-1","0","",
"SCR2","DPC3-1","K","320","DPC3-1","0","",
"SCR2","DPC3-10","A","281","DPC3-10","0","",
"SCR2","DPC3-10","K","317","DPC3-10","0","",
"SCR2","DPC3-2","A","280","DPC3-2","0","",
"SCR2","DPC3-2","K","319","DPC3-2","0","",
"SCR2","DPC3-3","A","280","DPC3-3","0","",
"SCR2","DPC3-3","K","357","DPC3-3","0","",
"SCR2","DPC3-4","A","280","DPC3-4","0","",
"SCR2","DPC3-4","K","258","DPC3-4","0","",
"SCR2","DPC3-6","A","173","DPC3-6","0","",
"SCR2","DPC3-6","K","314","DPC3-6","0","",
"SCR2","DPC3-7","A","268","DPC3-7","0","",
"SCR2","DPC3-7","K","314","DPC3-7","0","",
"SCR2","DPC3-9","A","281","DPC3-9","0","",
"SCR2","DPC3-9","K","315","DPC3-9","0","",
"SCR2","DRL6A","A","RL6A01","DRL6A","0","",
"SCR2","DRL6A","K","302","DRL6A","0","",
"SCR2","DRL6B","A","RL6B01","DRL6B","0","",
"SCR2","DRL6B","K","302","DRL6B","0","",
"SCR2","FS1","1","238","SF1","0","",
"SCR2","FS1","2","239","SF1","0","",
"SCR2","FS2","1","239","SF2","0","",
"SCR2","FS2","2","240","SF2","0","",
"SCR2","FS3","1","240","SF3","0","",
"SCR2","FS3","2","241","SF3","0","",
"SCR2","FS4","1","244","SF4","0","",
"SCR2","FS4","2","245","SF4","0","",
"SCR2","FS5","1","245","SF5","0","",
"SCR2","FS5","2","246","SF5","0","",
"SCR2","FS6","1","246","SF6","0","",
"SCR2","FS6","2","238","SF6","0","",
"SCR2","K1","1","321","SK1-1","1","",
"SCR2","K1","2","109A","SK1-1","1","",
"SCR2","K1","3","330","SK1-3","1","",
"SCR2","K1","4","333","SK1-3","1","",
"SCR2","K1","5","326","SK1-5","0","",
"SCR2","K1","6","325","SK1-5","0","",
"SCR2","K1","7","364","SK1-7","0","",
"SCR2","K1","8","343","SK1-7","0","",
"SCR2","K1","[+]","173","RK1","76","",
"SCR2","K1","[-]","330","RK1","76","",
"SCR2","K2","3","339","SK2-3","1","",
"SCR2","K2","4","124","SK2-3","1","",
"SCR2","K2","7","274","SK2-7","0","",
"SCR2","K2","8","328","SK2-7","0","",
"SCR2","K2","[+]","173","RK2","76","",
"SCR2","K2","[-]","342","RK2","76","",
"SCR2","K3","3","335","SK3-3","1","",
"SCR2","K3","4","336","SK3-3","1","",
"SCR2","K3","7","343","SK3-7","0","",
"SCR2","K3","8","342","SK3-7","0","",
"SCR2","K3","[+]","173","RK3","76","",
"SCR2","K3","[-]","335","RK3","76","",
"SCR2","K4","3","336","SK4-3","1","",
"SCR2","K4","4","129","SK4-3","1","",
"SCR2","K4","7","328","SK4-7","0","",
"SCR2","K4","8","330","SK4-7","0","",
