"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"SCR2","K4","[+]","173","RK4","76","",
"SCR2","K4","[-]","335","RK4","76","",
"SCR2","K5","A","315","SK5-A","1","",
"SCR2","K5","B","273","SK5-A","1","",
"SCR2","K5","C","320","SK5-C","1","",
"SCR2","K5","D","273","SK5-C","1","",
"SCR2","K5","E","317","SK5-E","1","",
"SCR2","K5","F","277","SK5-E","1","",
"SCR2","K5","G","319","SK5-G","1","",
"SCR2","K5","H","277","SK5-G","1","",
"SCR2","K5","J","302","SK5-J","1","",
"SCR2","K5","K","321","SK5-J","1","",
"SCR2","K5","L","252","SK5-L","1","",
"SCR2","K5","M","313","SK5-L","1","",
"SCR2","K5","N","281","SK5-N","1","",
"SCR2","K5","P","324","SK5-N","1","",
"SCR2","K5","Q","280","SK5-Q","1","",
"SCR2","K5","R","299","SK5-Q","1","",
"SCR2","K5B","[+]","314","RK5B","76","",
"SCR2","K5B","[-]","324","RK5B","76","",
"SCR2","K5T","[+]","314","RK5T","76","",
"SCR2","K5T","[-]","325","RK5T","76","",
"SCR2","K6","3","333","SK6-3","1","",
"SCR2","K6","4","116","SK6-3","1","",
"SCR2","K6","5","322","SK6-5","0","",
"SCR2","K6","6","324","SK6-5","0","",
"SCR2","K6","7","284","SK6-7","0","",
"SCR2","K6","8","341","SK6-7","0","",
"SCR2","K6","[+]","173","RK6","76","",
"SCR2","K6","[-]","330","RK6","76","",
"SCR2","K7","3","342","SK7-3","1","",
"SCR2","K7","4","339","SK7-3","1","",
"SCR2","K7","7","341","SK7-7","0","",
"SCR2","K7","8","335","SK7-7","0","",
"SCR2","K7","[+]","173","RK7","76","",
"SCR2","K7","[-]","342","RK7","76","",
"SCR2","L1","1","230","L1","28","",
"SCR2","L1","2","0","L1","28","",
"SCR2","M1","[+]","102","RM1","50","",
"SCR2","M1","[-]","181","RM1","50","",
"SCR2","M2","[+]","166","RM2","50","",
"SCR2","M2","[-]","0","RM2","50","",
"SCR2","OL1","1","B01","ROL1-1","2","",
"SCR2","OL1","13","230","SOL1-13","0","",
"SCR2","OL1","14","225","SOL1-13","0","",
"SCR2","OL1","2","B11","ROL1-1","2","",
"SCR2","OL1","3","B02","ROL1-3","2","",
"SCR2","OL1","4","B12","ROL1-3","2","",
"SCR2","OL1","5","B03","ROL1-5","2","",
"SCR2","OL1","6","B13","ROL1-5","2","",
"SCR2","PC1","13","173","VPC1-13","60","+60V",
"SCR2","PC1","14","154","XPC1-14","","",
"SCR2","PC1","15","154","XPC1-15","","",
"SCR2","PC1","19","179","XPC1-19","","",
"SCR2","PC1","20","244","XPC1-20","","",
"SCR2","PC1","36","153","XPC1-36","","",
"SCR2","PC1","5","131","XPC1-05","","",
"SCR2","PC1","6","166","XPC1-06","","",
"SCR2","PC1","7","131","XPC1-07","","",
"SCR2","PC3","1","320","XPC301","","",
"SCR2","PC3","10","317","XPC310","","",
"SCR2","PC3","13","281","XPC313","","",
"SCR2","PC3","2","319","XPC302","","",
"SCR2","PC3","3","357","XPC303","","",
"SCR2","PC3","4","258","XPC304","","",
"SCR2","PC3","5","280","XPC305","","",
"SCR2","PC3","6","173","XPC306","","",
"SCR2","PC3","7","268","XPC307","","",
"SCR2","PC3","8","314","XPC308","","",
"SCR2","PC3","9","315","XPC309","","",
"SCR2","RIFB1","1","IFB01","RIFB1","1000","",
"SCR2","RIFB1","2","131","RIFB1","1000","",
"SCR2","RIFB2","1","131","RIFB2","2.67","",
"SCR2","RIFB2","2","0","RIFB2","2.67","",
"SCR2","RIFB3","1","131","RIFB3","5000","",
"SCR2","RIFB3","2","166","RIFB3","5000","",
"SCR2","RL1","4","253","SRL1-7","1","",
"SCR2","RL1","5","272","SRL1-8","1","",
"SCR2","RL1","7","313","SRL1-7","1","",
"SCR2","RL1","8","327","SRL1-8","1","",
"SCR2","RL1","A","291","RL1","472","",
"SCR2","RL1","B","292","RL1","472","",
"SCR2","RL4","4","250","SRL4-7","1","",
"SCR2","RL4","5","306","SRL4-8","1","",
"SCR2","RL4","7","251","SRL4-7","1","",
"SCR2","RL4","8","364","SRL4-8","1","",
"SCR2","RL4","A","293","RL4","472","",
"SCR2","RL4","B","294","RL4","472","",
"SCR2","RL5","4","271","SRL5-7","1","",
"SCR2","RL5","7","327","SRL5-7","1","",
"SCR2","RL5","A","299","RL5","472","",
"SCR2","RL5","B","RL5BC","RL5","472","",
"SCR2","RL5","C","295","XRL5","","",
"SCR2","RL6A","1","320","SRL6A-7C","0","",
"SCR2","RL6A","2","319","SRL6A-8C","0","",
"SCR2","RL6A","4","315","SRL6A-7","1","",
"SCR2","RL6A","5","317","SRL6A-8","1","",
"SCR2","RL6A","7","307","SRL6A-7","1","",
"SCR2","RL6A","7C","307","SRL6A-7C","0","",
"SCR2","RL6A","8","275","SRL6A-8","1","",
"SCR2","RL6A","8C","275","SRL6A-8C","0","",
"SCR2","RL6A","A","RL6A01","RL6A","472","",
"SCR2","RL6A","B","356","RL6A","472","",
"SCR2","RL6A","C","295","XRL6A","","",
"SCR2","RL6B","1","357","SRL6B-7C","0","",
"SCR2","RL6B","2","258","SRL6B-8C","0","",
"SCR2","RL6B","7C","252","SRL6B-7C","0","",
"SCR2","RL6B","8C","271","SRL6B-8C","0","",
"SCR2","RL6B","A","RL6B01","RL6B","472","",
"SCR2","RL6B","B","356","RL6B","472","",
"SCR2","RS5","1","RL5BC","RS5","100","",
"SCR2","RS5","2","295","RS5","100","",
"SCR2","RSRL6","1","295","RSRL6","100","",
"SCR2","RSRL6","2","356","RSRL6","100","",
"SCR2","RVFB1","1","157","RVFB1","35100","",
"SCR2","RVFB1","2","102","RVFB1","35100","",
"SCR2","RVFB2","1","159","RVFB2","35100","",
"SCR2","RVFB2","2","101","RVFB2","35100","",
"SCR2","RVFB3","1","102","RVFB3","2700","",
"SCR2","RVFB3","2","0","RVFB3","2700","",
"SCR2","RVFB4","1","101","RVFB4","2700","",
"SCR2","RVFB4","2","0","RVFB4","2700","",
"SCR2","RVFB5","1","181","RVFB5","68000","",
"SCR2","RVFB5","2","101","RVFB5","68000","",
"SCR2","RX05","1","0","RX05","10000","",
"SCR2","RX05","2","320","RX05","10000","",
"SCR2","RX06","1","0","RX06","10000","",
"SCR2","RX06","2","319","RX06","10000","",
"SCR2","RX07","1","0","RX07","10000","",
"SCR2","RX07","2","357","RX07","10000","",
"SCR2","RX08","1","0","RX08","10000","",
"SCR2","RX08","2","258","RX08","10000","",
"SCR2","RX09","1","0","RX09","10000","",
"SCR2","RX09","2","315","RX09","10000","",
"SCR2","RX10","1","0","RX10","10000","",
"SCR2","RX10","2","317","RX10","10000","",
"SCR2","SCR","1","157","VSCR+","0","BR+",
"SCR2","SCR","1","159","VSCR-","0","BR-",
"SCR2","SCR","1","IFB01","VSCRI","0","AMPS",
"SCR2","TB11","1","153","X1101","","",
"SCR2","TB11","2","286","X1102","","",
"SCR2","TB11","3","138","X1103","","",
"SCR2","TB11","4","302","X1104","","",
"SCR2","TB11","5","325","X1105","","",
"SCR2","TB11","6","315","X1106","","",
"SCR2","TB11","7","317","X1107","","",
"SCR2","TB12","1","295","X1201","","",
"SCR2","TB12","2","295","X1202","","",
"SCR2","TB12","3","307","X1203","","",
"SCR2","TB12","4","135","X1204","","",
"SCR2","TB12","5","299","X1205","","",
"SCR2","TB12","6","300","X1206","","",
"SCR2","TB12","7","276","X1207","","",
"SCR2","TB21","1","244","X2101","","",
"SCR2","TB21","2","238","X2102","","",
"SCR2","TB21","3","249","X2103","","",
"SCR2","TB21","4","243","X2104","","",
"SCR2","TB26","1","238","X2601","","",
"SCR2","TB26","2","241","X2602","","",
"SCR2","TB26","3","241","X2603","","",
"SCR2","TB26","4","243","X2604","","",
"SCR2","TEST","1","154","STEST","0","",
"SCR2","TEST","2","134","STEST","0","",
"SCR2","TS1","1","249","ST1-1","0","",
"SCR2","TS1","2","243","ST1-1","0","",
"SCR2","TS2","1","243","ST2-1","0","",
"SCR2","TS2","2","241","ST2-1","0","",
"SCR3","ACC","115","229","VAC-115","115","115V",
"SCR3","BLW","1","B11","RBLW-1","1000","",
"SCR3","BLW","2","0","RBLW-1","1000","",
"SCR3","BLW","3","B12","RBLW-2","1000","",
"SCR3","BLW","4","0","RBLW-2","1000","",
"SCR3","BLW","5","B13","RBLW-3","1000","",
"SCR3","BLW","6","0","RBLW-3","1000","",
"SCR3","C1","1","230","SC1-1","1","",
"SCR3","C1","2","B01","SC1-1","1","",
"SCR3","C1","3","230","SC1-3","1","",
"SCR3","C1","4","B02","SC1-3","1","",
"SCR3","C1","5","230","SC1-5","1","",
"SCR3","C1","6","B03","SC1-5","1","",
"SCR3","C1","A","225","RC1","1000","",
"SCR3","C1","B","0","RC1","1000","",
"SCR3","CB","1","230","SCB-2","1","",
"SCR3","CB","2","229","SCB-2","1","",
"SCR3","CB","4","235","SCB-5","1","",
"SCR3","CB","5","134","SCB-5","1","",
"SCR3","CB","U10","179","RCB","1000","",
"SCR3","CB","U8","244","RCB","1000","",
"SCR3","D135","A","135","D135","0","",
"SCR3","D135","K","135A","D135","0","",
"SCR3","DCM","101","101","XDCM-101","","VFB-",
"SCR3","DCM","102","102","XDCM-102","","VFB+",
"SCR3","DCM","114","114","XDCM-114","0","DW REF",
"SCR3","DCM","116","116","XDCM-116","0","DW CONT",
"SCR3","DCM","117","117","XDCM-117","0","DW REF",
"SCR3","DCM","121","121","XDCM-121","0","MP2 CONT",
"SCR3","DCM","122","122","XDCM-122","0","MP2 REF",
"SCR3","DCM","128","128","XDCM-128","0","RT ILIM",
"SCR3","DCM","129","129","XDCM-129","0","RT CONT",
"SCR3","DCM","130","130","XDCM-130","0","RT REF",
"SCR3","DCM","131","131","XDCM-131","","IFB",
"SCR3","DCM","134","134","XDCM-134","-14","-14V CONT",
"SCR3","DCM","135","135","XDCM-135","-14","BRAKE",
"SCR3","DCM","153","153","VDCM-153","14","+14V",
"SCR3","DCM","154","154","VDCM-154","-14","-14V",
"SCR3","DCM","155","0","XDCM-155","0","0V",
"SCR3","DPC1-13","A","153","DPC1-13","0","",
"SCR3","DPC1-13","K","179","DPC1-13","0","",
"SCR3","DPC3-1","A","259","DPC3-1","0","",
"SCR3","DPC3-1","K","275","DPC3-1","0","",
"SCR3","DPC3-10","A","267","DPC3-10","0","",
"SCR3","DPC3-10","K","317","DPC3-10","0","",
"SCR3","DPC3-11","A","267","DPC3-11","0","",
"SCR3","DPC3-11","K","278","DPC3-11","0","",
"SCR3","DPC3-14","A","268","DPC3-14","0","",
"SCR3","DPC3-14","K","262","DPC3-14","0","",
"SCR3","DPC3-2","A","259","DPC3-2","0","",
"SCR3","DPC3-2","K","319","DPC3-2","0","",
"SCR3","DPC3-3","A","259","DPC3-3","0","",
"SCR3","DPC3-3","K","277","DPC3-3","0","",
"SCR3","DPC3-6","A","260","DPC3-6","0","",
"SCR3","DPC3-6","K","262","DPC3-6","0","",
"SCR3","DPC3-7","A","173","DPC3-7","0","",
"SCR3","DPC3-7","K","262","DPC3-7","0","",
"SCR3","DPC3-9","A","267","DPC3-9","0","",
"SCR3","DPC3-9","K","276","DPC3-9","0","",
"SCR3","FS1","1","238","SF1","0","",
"SCR3","FS1","2","239","SF1","0","",
"SCR3","FS2","1","239","SF2","0","",
"SCR3","FS2","2","240","SF2","0","",
"SCR3","FS3","1","240","SF3","0","",
"SCR3","FS3","2","241","SF3","0","",
"SCR3","FS4","1","244","SF4","0","",
"SCR3","FS4","2","245","SF4","0","",
"SCR3","FS5","1","245","SF5","0","",
"SCR3","FS5","2","246","SF5","0","",
"SCR3","FS6","1","246","SF6","0","",
"SCR3","FS6","2","238","SF6","0","",
"SCR3","K1","3","330","SK1-3","1","",
"SCR3","K1","4","333","SK1-3","1","",
"SCR3","K1","7","288","SK1-7","0","",
"SCR3","K1","8","343","SK1-7","0","",
"SCR3","K1","[+]","173","RK1","76","",
"SCR3","K1","[-]","330","RK1","76","",
"SCR3","K2","3","339","SK2-3","1","",
"SCR3","K2","4","121","SK2-3","1","",
"SCR3","K2","7","274","SK2-7","0","",
"SCR3","K2","8","328","SK2-7","0","",
"SCR3","K2","[+]","173","RK2","76","",
"SCR3","K2","[-]","342","RK2","76","",
"SCR3","K3","1","315","SK3-1","1","",
"SCR3","K3","2","135A","SK3-1","1","",
"SCR3","K3","3","329","SK3-3","1","",
"SCR3","K3","4","336","SK3-3","1","",
"SCR3","K3","7","343","SK3-7","0","",
"SCR3","K3","8","342","SK3-7","0","",
"SCR3","K3","[+]","173","RK3","76","",
"SCR3","K3","[-]","329","RK3","76","",
"SCR3","K4","3","336","SK4-3","1","",
"SCR3","K4","4","116","SK4-3","1","",
"SCR3","K4","7","327","SK4-7","0","",
"SCR3","K4","8","330","SK4-7","0","",
"SCR3","K4","[+]","173","RK4","76","",
"SCR3","K4","[-]","329","RK4","76","",
"SCR3","K5","A","276","SK5-A","1","",
"SCR3","K5","B","279","SK5-A","1","",
"SCR3","K5","C","275","SK5-C","1","",
"SCR3","K5","D","279","SK5-C","1","",
"SCR3","K5","E","317","SK5-E","1","",
"SCR3","K5","F","281","SK5-E","1","",
"SCR3","K5","G","319","SK5-G","1","",
"SCR3","K5","H","281","SK5-G","1","",
"SCR3","K5","J","278","SK5-J","1","",
"SCR3","K5","K","282","SK5-J","1","",
"SCR3","K5","L","277","SK5-L","1","",
"SCR3","K5","M","282","SK5-L","1","",
"SCR3","K5","[+]","262","RK5B","76","",
"SCR3","K5","[+]","262","RK5T","76","",
"SCR3","K5","[-]","259","RK5T","76","",
"SCR3","K5","[-]","267","RK5B","76","",
"SCR3","K6","3","333","SK6-3","1","",
"SCR3","K6","4","129","SK6-3","1","",
"SCR3","K6","7","328","SK6-7","0","",
"SCR3","K6","8","329","SK6-7","0","",
"SCR3","K6","[+]","173","RK6","76","",
"SCR3","K6","[-]","330","RK6","76","",
"SCR3","K7","3","342","SK7-3","1","",
"SCR3","K7","4","339","SK7-3","1","",
"SCR3","K7","7","325","SK7-7","0","",
"SCR3","K7","8","327","SK7-7","0","",
"SCR3","K7","[+]","173","RK7","76","",
"SCR3","K7","[-]","342","RK7","76","",
"SCR3","L1","1","230","L1","28","",
"SCR3","L1","2","0","L1","28","",
"SCR3","M1","[+]","102","RM1","50","",
"SCR3","M1","[-]","181","RM1","50","",
"SCR3","M2","[+]","166","RM2","50","",
"SCR3","M2","[-]","0","RM2","50","",
"SCR3","OL1","1","B01","ROL1-1","2","",
"SCR3","OL1","13","230","SOL1-13","0","",
"SCR3","OL1","14","225","SOL1-13","0","",
"SCR3","OL1","2","B11","ROL1-1","2","",
"SCR3","OL1","3","B02","ROL1-3","2","",
"SCR3","OL1","4","B12","ROL1-3","2","",
"SCR3","OL1","5","B03","ROL1-5","2","",
"SCR3","OL1","6","B13","ROL1-5","2","",
"SCR3","PC1","13","173","VPC1-13","60","+60V",
"SCR3","PC1","14","154","XPC1-14","","",
"SCR3","PC1","15","154","XPC1-15","","",
"SCR3","PC1","19","179","XPC1-19","","",
"SCR3","PC1","20","244","XPC1-20","","",
"SCR3","PC1","36","153","XPC1-36","","",
"SCR3","PC1","5","131","XPC1-05","","",
"SCR3","PC1","6","166","XPC1-06","","",
"SCR3","PC1","7","131","XPC1-07","","",
"SCR3","PC3","1","275","XPC301","","",
"SCR3","PC3","10","317","XPC310","","",
"SCR3","PC3","11","278","XPC311","","",
"SCR3","PC3","13","267","XPC313","","",
"SCR3","PC3","14","268","XPC314","","",
"SCR3","PC3","2","319","XPC302","","",
"SCR3","PC3","3","277","XPC303","","",
"SCR3","PC3","5","259","XPC305","","",
"SCR3","PC3","6","260","XPC306","","",
"SCR3","PC3","7","173","XPC307","","",
"SCR3","PC3","8","262","XPC308","","",
"SCR3","PC3","9","276","XPC309","","",
"SCR3","RIFB1","1","IFB01","RIFB1","1000","",
"SCR3","RIFB1","2","131","RIFB1","1000","",
"SCR3","RIFB2","1","131","RIFB2","2.67","",
"SCR3","RIFB2","2","0","RIFB2","2.67","",
"SCR3","RIFB3","1","131","RIFB3","5000","",
"SCR3","RIFB3","2","166","RIFB3","5000","",
"SCR3","RL3A","4","280","SRL3A-7","0","",
"SCR3","RL3A","5","325","SRL3A-8","0","",
"SCR3","RL3A","6","283","SRL3A-9","0","",
"SCR3","RL3A","7","279","SRL3A-7","0","",
"SCR3","RL3A","8","281","SRL3A-8","0","",
"SCR3","RL3A","9","282","SRL3A-9","0","",
"SCR3","RL3A","A","250","RL3A","472","",
"SCR3","RL3A","B","251","RL3A","472","",
"SCR3","RL4","4","312","SRL4-7","1","",
"SCR3","RL4","5","291","SRL4-8","1","",
"SCR3","RL4","7","288","SRL4-7","1","",
"SCR3","RL4","8","290","SRL4-8","1","",
"SCR3","RL4","A","252","RL4","472","",
"SCR3","RL4","B","253","RL4","472","",
"SCR3","RVFB1","1","157","RVFB1","35100","",
"SCR3","RVFB1","2","102","RVFB1","35100","",
"SCR3","RVFB2","1","159","RVFB2","35100","",
"SCR3","RVFB2","2","101","RVFB2","35100","",
"SCR3","RVFB3","1","102","RVFB3","2700","",
"SCR3","RVFB3","2","0","RVFB3","2700","",
"SCR3","RVFB4","1","101","RVFB4","2700","",
"SCR3","RVFB4","2","0","RVFB4","2700","",
"SCR3","RVFB5","1","181","RVFB5","68000","",
"SCR3","RVFB5","2","101","RVFB5","68000","",
"SCR3","SCR","1","157","VSCR+","0","BR+",
"SCR3","SCR","1","159","VSCR-","0","BR-",
"SCR3","SCR","1","IFB01","VSCRI","0","AMPS",
"SCR3","TB21","1","244","X2101","","",
"SCR3","TB21","2","238","X2102","","",
"SCR3","TB21","3","249","X2103","","",
"SCR3","TB21","4","243","X2104","","",
"SCR3","TB26","1","238","X2601","","",
"SCR3","TB26","2","241","X2602","","",
"SCR3","TB26","3","241","X2603","","",
"SCR3","TB26","4","243","X2604","","",
"SCR3","TEST","1","154","STEST","0","",
"SCR3","TEST","2","134","STEST","0","",
"SCR3","TS1","1","249","ST1-1","0","",
"SCR3","TS1","2","243","ST1-1","0","",
"SCR3","TS2","1","243","ST2-1","0","",
"SCR3","TS2","2","241","ST2-1","0","",
"SCR4","ACC","115","229","VAC-115","115","115V",
"SCR4","BLW","1","B11","RBLW-1","1000","",
"SCR4","BLW","2","0","RBLW-1","1000","",
"SCR4","BLW","3","B12","RBLW-2","1000","",
"SCR4","BLW","4","0","RBLW-2","1000","",
"SCR4","BLW","5","B13","RBLW-3","1000","",
"SCR4","BLW","6","0","RBLW-3","1000","",
"SCR4","C1","1","230","SC1-1","1","",
"SCR4","C1","2","B01","SC1-1","1","",
"SCR4","C1","3","230","SC1-3","1","",
"SCR4","C1","4","B02","SC1-3","1","",
"SCR4","C1","5","230","SC1-5","1","",
"SCR4","C1","6","B03","SC1-5","1","",
"SCR4","C1","A","225","RC1","1000","",
"SCR4","C1","B","0","RC1","1000","",
"SCR4","CB","1","230","SCB-2","1","",
"SCR4","CB","2","229","SCB-2","1","",
"SCR4","CB","4","235","SCB-5","1","",
"SCR4","CB","5","134","SCB-5","1","",
"SCR4","CB","U10","179","RCB","1000","",
"SCR4","CB","U8","244","RCB","1000","",
"SCR4","D01","A","138","D01","0","",
"SCR4","D01","K","255","D01","0","",
"SCR4","D02","A","258","D02","0","",
"SCR4","D02","K","135","D02","0","",
"SCR4","D109","A","109","D109","0","",
"SCR4","D109","K","109A","D109","0","",
"SCR4","DCM","101","101","XDCM-101","","VFB-",
"SCR4","DCM","102","102","XDCM-102","","VFB+",
"SCR4","DCM","109","109","XDCM-109","-14","REGEN",
"SCR4","DCM","114","114","XDCM-114","0","DW REF",
"SCR4","DCM","116","116","XDCM-116","0","DW CONT",
"SCR4","DCM","117","117","XDCM-117","0","DW REF",
"SCR4","DCM","124","124","XDCM-124","0","MP1 CONT",
"SCR4","DCM","125","125","XDCM-125","0","MP2 REF",
"SCR4","DCM","128","128","XDCM-128","0","RT ILIM",
"SCR4","DCM","129","129","XDCM-129","0","RT CONT",
"SCR4","DCM","130","130","XDCM-130","0","RT REF",
"SCR4","DCM","131","131","XDCM-131","","IFB",
"SCR4","DCM","134","134","XDCM-134","-14","-14V CONT",
"SCR4","DCM","135","135","XDCM-135","0","BRAKE",
"SCR4","DCM","138","138","XDCM-138","0","BRAKE",
"SCR4","DCM","153","153","VDCM-153","14","+14V",
"SCR4","DCM","154","154","VDCM-154","-14","-14V",
"SCR4","DCM","155","0","XDCM-155","0","0V",
"SCR4","DPC1-13","A","153","DPC1-13","0","",
"SCR4","DPC1-13","K","179","DPC1-13","0","",
"SCR4","FS1","1","238","SF1","0","",
"SCR4","FS1","2","239","SF1","0","",
"SCR4","FS2","1","239","SF2","0","",
"SCR4","FS2","2","240","SF2","0","",
"SCR4","FS3","1","240","SF3","0","",
"SCR4","FS3","2","241","SF3","0","",
"SCR4","FS4","1","244","SF4","0","",
"SCR4","FS4","2","245","SF4","0","",
"SCR4","FS5","1","245","SF5","0","",
"SCR4","FS5","2","246","SF5","0","",
"SCR4","FS6","1","246","SF6","0","",
"SCR4","FS6","2","238","SF6","0","",
"SCR4","K1","3","282","SK1-3","1","",
"SCR4","K1","4","281","SK1-3","1","",
"SCR4","K1","7","288","SK1-7","0","",
"SCR4","K1","8","287","SK1-7","0","",
"SCR4","K1","[+]","173","RK1","76","",
"SCR4","K1","[-]","282","RK1","76","",
"SCR4","K2","3","293","SK2-3","1","",
"SCR4","K2","4","124","SK2-3","1","",
"SCR4","K2","7","284","SK2-7","0","",
"SCR4","K2","8","283","SK2-7","0","",
"SCR4","K2","[+]","173","RK2","76","",
"SCR4","K2","[-]","286","RK2","76","",
"SCR4","K3","3","274","SK3-3","1","",
"SCR4","K3","4","277","SK3-3","1","",
"SCR4","K3","5","264","SK3-5","0","",
"SCR4","K3","6","266","SK3-5","0","",
"SCR4","K3","7","287","SK3-7","0","",
"SCR4","K3","8","286","SK3-7","0","",
"SCR4","K3","[+]","173","RK3","76","",
"SCR4","K3","[-]","274","RK3","76","",
"SCR4","K4","1","262","SK4-1","1","",
"SCR4","K4","2","109A","SK4-1","1","",
"SCR4","K4","3","277","SK4-3","1","",
"SCR4","K4","4","116","SK4-3","1","",
"SCR4","K4","5","263","SK4-5","0","",
"SCR4","K4","6","265","SK4-5","0","",
"SCR4","K4","7","283","SK4-7","0","",
"SCR4","K4","8","282","SK4-7","0","",
"SCR4","K4","[+]","173","RK4","76","",
"SCR4","K4","[-]","274","RK4","76","",
"SCR4","K6","3","281","SK6-3","1","",
"SCR4","K6","4","129","SK6-3","1","",
"SCR4","K6","7","272","SK6-7","0","",
"SCR4","K6","8","273","SK6-7","0","",
"SCR4","K6","[+]","173","RK6","76","",
"SCR4","K6","[-]","282","RK6","76","",
"SCR4","K7","3","286","SK7-3","1","",
"SCR4","K7","4","293","SK7-3","1","",
"SCR4","K7","7","273","SK7-7","0","",
"SCR4","K7","8","274","SK7-7","0","",
"SCR4","K7","[+]","173","RK7","76","",
"SCR4","K7","[-]","286","RK7","76","",
"SCR4","L1","1","230","L1","28","",
"SCR4","L1","2","0","L1","28","",
"SCR4","M1","[+]","102","RM1","50","",
"SCR4","M1","[-]","181","RM1","50","",
"SCR4","M2","[+]","166","RM2","50","",
"SCR4","M2","[-]","0","RM2","50","",
"SCR4","OL1","1","B01","ROL1-1","2","",
"SCR4","OL1","13","230","SOL1-13","0","",
"SCR4","OL1","14","225","SOL1-13","0","",
"SCR4","OL1","2","B11","ROL1-1","2","",
"SCR4","OL1","3","B02","ROL1-3","2","",
"SCR4","OL1","4","B12","ROL1-3","2","",
"SCR4","OL1","5","B03","ROL1-5","2","",
"SCR4","OL1","6","B13","ROL1-5","2","",
"SCR4","PC1","13","173","VPC1-13","60","+60V",
"SCR4","PC1","14","154","XPC1-14","","",
"SCR4","PC1","15","154","XPC1-15","","",
"SCR4","PC1","19","179","XPC1-19","","",
"SCR4","PC1","20","244","XPC1-20","","",
"SCR4","PC1","36","153","XPC1-36","","",
"SCR4","PC1","5","131","XPC1-05","","",
"SCR4","PC1","6","166","XPC1-06","","",
"SCR4","PC1","7","131","XPC1-07","","",
"SCR4","RIFB1","1","IFB01","RIFB1","1000","",
"SCR4","RIFB1","2","131","RIFB1","1000","",
"SCR4","RIFB2","1","131","RIFB2","2.67","",
"SCR4","RIFB2","2","0","RIFB2","2.67","",
"SCR4","RIFB3","1","131","RIFB3","5000","",
"SCR4","RIFB3","2","166","RIFB3","5000","",
"SCR4","RL2","4","259","SRL2-7","1","",
"SCR4","RL2","5","252","SRL2-8","1","",
"SCR4","RL2","7","272","SRL2-7","1","",
"SCR4","RL2","8","253","SRL2-8","1","",
"SCR4","RL2","A","260","RL2","472","",
"SCR4","RL2","B","261","RL2","472","",
"SCR4","RVFB1","1","157","RVFB1","35100","",
"SCR4","RVFB1","2","102","RVFB1","35100","",
"SCR4","RVFB2","1","159","RVFB2","35100","",
"SCR4","RVFB2","2","101","RVFB2","35100","",
"SCR4","RVFB3","1","102","RVFB3","2700","",
"SCR4","RVFB3","2","0","RVFB3","2700","",
"SCR4","RVFB4","1","101","RVFB4","2700","",
"SCR4","RVFB4","2","0","RVFB4","2700","",
"SCR4","RVFB5","1","181","RVFB5","68000","",
"SCR4","RVFB5","2","101","RVFB5","68000","",
"SCR4","SCR","1","157","VSCR+","0","BR+",
"SCR4","SCR","1","159","VSCR-","0","BR-",
"SCR4","SCR","1","IFB01","VSCRI","0","AMPS",
"SCR4","TB11","1","138","X1101","","",
"SCR4","TB11","2","258","X1102","","",
"SCR4","TB12","1","255","X1201","","",
"SCR4","TB12","2","135","X1202","","",
"SCR4","TB21","1","244","X2101","","",
"SCR4","TB21","2","238","X2102","","",
"SCR4","TB21","3","249","X2103","","",
"SCR4","TB21","4","243","X2104","","",
"SCR4","TB26","1","238","X2601","","",
"SCR4","TB26","2","241","X2602","","",
"SCR4","TB26","3","241","X2603","","",
"SCR4","TB26","4","243","X2604","","",
"SCR4","TEST","1","154","STEST","0","",
"SCR4","TEST","2","134","STEST","0","",
"SCR4","TS1","1","249","ST1-1","0","",
"SCR4","TS1","2","243","ST1-1","0","",
"SCR4","TS2","1","243","ST2-1","0","",
"SCR4","TS2","2","241","ST2-1","0","",
